Player,Team,ATT,CMP,YDS,TDS,INTS,ATT2,YDS2,TDS2,FL,FPTS
Lamar Jackson,BAL,468.4,301.1,"3,441.20",29.5,11.6,159.6,921.6,5.8,4.1,351.5
Patrick Mahomes,KC,569,371.1,"4,558.50",34.7,10.1,61.3,283.4,2.9,3.5,339.6
Dak Prescott,DAL,569.3,370,"4,475.50",28.6,11.8,60.7,276.2,4.1,3.8,314.3
Deshaun Watson,HOU,526.5,345,"3,988.40",25.9,13.6,91.3,488.2,4.9,3.7,306.7
Russell Wilson,SEA,493.3,321.9,"3,905.20",29.7,8.4,71.9,371.5,2.3,2.9,303.1
Josh Allen,BUF,514.8,305.2,"3,522.70",20.8,12.7,113.7,617.8,7.2,4.7,294.4
Kyler Murray,ARI,559.8,360.6,"3,979.00",24.7,13.5,92.5,492.2,3.3,3.2,293.9
Matt Ryan,ATL,624.8,412.3,"4,641.10",27.5,13.6,34.3,127.8,1.2,4.6,279.3
Tom Brady,TB,571.3,359.7,"4,341.30",29.1,10.5,24.3,39.9,1.4,2.1,277.4
Drew Brees,NO,533.5,379.9,"4,074.20",30.9,9.6,23.1,31.2,1.2,1.8,274.4
Aaron Rodgers,GB,559.1,351.5,"4,023.90",26.4,8.1,44.2,203.6,1.1,3.7,270.1
Carson Wentz,PHI,551.2,356.8,"3,935.20",27.5,9.1,56.5,212.4,1.7,6.1,268.1
Matthew Stafford,DET,565.1,363,"4,294.30",26.4,11.9,27.5,95,0.6,4.4,257.8
Jared Goff,LAR,592.2,376.9,"4,364.60",24.7,14.4,35.7,83.7,1.3,4.3,251.9
Daniel Jones,NYG,559.4,351.9,"3,862.30",24.8,14.6,56.7,293.5,2.7,9.5,251.1
Ryan Tannehill,TEN,453.1,298.5,"3,640.20",24,11.4,58.3,237.1,2.4,4.1,249.2
Baker Mayfield,CLE,534.9,330.8,"3,947.90",26.1,16,31.8,137.5,1.5,3.2,246.8
Ben Roethlisberger,PIT,544.3,352.6,"4,003.30",26.4,14.5,22.9,63.7,1.1,2.7,244.6
Kirk Cousins,MIN,508.2,342,"3,871.90",24.8,9.9,33.4,96.8,1.3,4.6,242.3
Gardner Minshew II,JAC,543.1,334.4,"3,758.30",20.8,10.8,63.8,300.6,1.5,6.7,237.9
Jimmy Garoppolo,SF,482.5,321.7,"3,800.70",26.2,14.2,39.2,81,1.2,4,235.9
Joe Burrow,CIN,549.4,341.2,"3,859.90",22.1,14.8,55,260.8,1.8,9.4,231.3
Drew Lock,DEN,524.5,332.8,"3,688.20",22.5,12.6,44.1,181,1,4.1,228.8
Philip Rivers,IND,530.7,338.3,"3,901.30",25.3,15.1,13.9,28.6,0.1,3.2,224.2
Teddy Bridgewater,CAR,541.5,346,"3,792.90",21,13,32.2,83.4,0.8,1.4,220.3
Sam Darnold,NYJ,519.5,323.6,"3,637.50",22.2,15.4,43.6,129.6,1.7,3.8,218.8
Jarrett Stidham,NE,533.2,328.1,"3,602.80",19.9,14.9,48,163.5,1.7,4,212.1
Derek Carr,LV,473.6,315.2,"3,519.80",20.6,9.8,24.6,74.2,1.1,3.7,210.2
Nick Foles,CHI,425.2,280.1,"2,938.20",17.8,9.7,22.4,62.5,0.8,3.5,173.7
Dwayne Haskins,WAS,428.4,260.6,"2,936.40",16.3,13.9,28.9,123.2,0.6,3,164.6
Tua Tagovailoa,MIA,351.3,217.3,"2,466.20",13.6,9.9,27.3,111.4,1,3.2,143.7
Tyrod Taylor,LAC,284.6,179.5,"2,070.60",12.1,7.5,36.1,166.9,1.4,1.3,138.7
Justin Herbert,LAC,259.1,160,"1,853.60",10.9,7.4,27.5,109.6,1.1,2.2,115.8
Ryan Fitzpatrick,MIA,257.9,161.3,"1,796.00",10.5,8.4,22.9,101.6,1,1,111.4
Mitch Trubisky,CHI,141.1,90.4,974,5.6,3.7,12.8,62.3,0.4,0.8,61.2
Marcus Mariota,LV,61.6,39.6,448.6,2.9,1.7,7.2,36.7,0.1,0.3,29.7
Phillip Walker,CAR,75.8,45.6,518.1,2.7,2.1,4.7,18.9,0.2,0.5,29.3
Taysom Hill,NO,10.5,5.5,69,0.5,0,34,180.5,1,1,26.8
Jalen Hurts,PHI,36.1,21.2,252.6,1.4,0.8,22.4,118.2,1.2,3.2,26.5
Kyle Allen,WAS,53.8,33.4,376.9,2.3,2.2,6.7,24.4,0.1,0.3,22.3
Brian Hoyer,NE,42.6,25.8,284.9,1.6,1.1,2.7,2.8,0,0.3,15.7
Mason Rudolph,PIT,34,21.3,236.2,1.5,0.9,2.9,11,0,0.2,14.5
Joshua Dobbs,JAC,38.6,22.2,255.8,1,1.3,2.4,9.7,0,0.5,11.8
Jordan Love,GB,21.8,13,152,1.1,0.4,3.1,14,0,0.1,11
Anthony Gordon,SEA,26.3,15.1,171.5,1.5,1.1,1,4.3,0,0.2,10.9
Will Grier,CAR,25.5,15.5,177,1,0.5,0.5,3,0,0,10.4
James Morgan,NYJ,27,15.7,176.1,1.1,0.8,1.1,4.5,0,0.2,9.9
John Wolford,LAR,19,12,137,1,0,1,3,0,0,9.8
Blaine Gabbert,TB,21.9,12.7,158.2,1.1,0.6,1.8,4.2,0,0.2,9.6
Cole McDonald,TEN,23.6,13.6,148.9,1.1,0.8,1.6,6.9,0.1,0.2,9.4
Jameis Winston,NO,20.9,13.2,159,0.8,0.5,2.1,8.7,0,0.2,9.2
Logan Woodside,TEN,18,11.5,141.5,1,0.5,0.5,3,0,0,9
Colt McCoy,NYG,23.9,14.8,165.5,0.8,0.7,0.8,4,0,0.2,8.8
Robert Griffin,BAL,15.9,10,116.3,0.8,0.7,4,17.2,0.1,0.1,8.6
Jeff Driskel,DEN,21.7,13,143.8,0.8,0.9,2,12.9,0,0.1,8.2
Ryan Finley,CIN,19.2,11.6,132.8,0.8,0.4,2.3,9.2,0,0.2,8.2
Geno Smith,SEA,16,8,91,1,0,5,5,0,0,8.1
Case Keenum,CLE,20.1,13,143.4,0.9,0.6,0.9,3.4,0,0.1,8
Matt Schaub,ATL,19.4,12.6,144.9,0.8,0.6,1.6,2.1,0,0.1,8
Brett Hundley,ARI,17,10.5,110,0.8,0.3,2,9.1,0,0.1,7.8
AJ McCarron,HOU,20.2,12.4,141.2,0.8,0.7,0.8,3.9,0,0.1,7.8
Jake Fromm,BUF,12,7,82,1,0,1,4,0,0,7.7
Chase Daniel,DET,17.5,10.8,124.8,0.6,0.4,1.5,6,0,0.1,7
Andy Dalton,DAL,16.2,10.3,120.7,0.6,0.4,1.4,6,0,0.1,6.8
Matt Barkley,BUF,17.8,11,131.3,0.7,0.7,1.3,3.9,0,0.2,6.7
Jacoby Brissett,IND,12.2,7.2,79.6,0.7,0.1,1.3,5.8,0,0.1,6.5
Chad Henne,KC,15.3,9.5,106.9,0.6,0.3,0.7,3.3,0,0.1,6.5
Nick Mullens,SF,17.8,11.3,132.3,0.6,0.7,1.3,1.4,0,0.1,6.2
Sean Mannion,MIN,20.5,12,143.9,0.5,0.7,1.2,2,0,0.1,6.2
Garrett Gilbert,CLE,8,5,72.5,0.5,0,1.5,2,0,0,5.1
David Blough,DET,11.5,7,79,0.5,0.5,2,8.5,0,0,5
Joe Flacco,NYJ,9.5,6,66.5,0.5,0.5,1.5,6,0,0,4.3
Mike Glennon,JAC,11.5,7,76.5,0.5,0,1.5,1.5,0,1,3.2
Josh Rosen,MIA,12,7,78.5,0.5,0.5,2,7,0,1,2.8
Jacob Eason,IND,10,6,64,0,0,1,2,0,0,2.8
David Fales,NYJ,0.5,0.5,3,0,0,0,0,0,0,0.1
Nate Sudfeld,PHI,0,0,0,0,0,0,0,0,0,0
Devlin Hodges,PIT,0,0,0,0,0,0,0,0,0,0
Cooper Rush,NYG,0,0,0,0,0,0,0,0,0,0
C.J. Beathard,SF,0,0,0,0,0,0,0,0,0,0
Tim Boyle,GB,0,0,0,0,0,0,0,0,0,0
Tyler Bray,CHI,0,0,0,0,0,0,0,0,0,0
Paxton Lynch,PIT,0,0,0,0,0,0,0,0,0,0
Ryan Griffin,TB,0,0,0,0,0,0,0,0,0,0
Kyle Lauletta,PHI,0,0,0,0,0,0,0,0,0,0
Chad Kelly,IND,0,0,0,0,0,0,0,0,0,0
Alex Tanney,NYG,0,0,0,0,0,0,0,0,0,0
Jake Rudock,MIA,0,0,0,0,0,0,0,0,0,0
Trace McSorley,BAL,0,0,0,0,0,0,0,0,0,0
Alex McGough,HOU,0,0,0,0,0,0,0,0,0,0
Davis Webb,BUF,0,0,0,0,0,0,0,0,0,0
Danny Etling,ATL,0,0,0,0,0,0,0,0,0,0
Nate Stanley,MIN,0,0,0,0,0,0,0,0,0,0
Alex Smith,WAS,0,0,0,0,0,0,0,0,0,0
Jake Luton,JAC,0,0,0,0,0,0,0,0,0,0
Brett Rypien,DEN,0,0,0,0,0,0,0,0,0,0
Tommy Stevens,NO,0,0,0,0,0,0,0,0,0,0
Nathan Peterman,LV,0,0,0,0,0,0,0,0,0,0
Easton Stick,LAC,0,0,0,0,0,0,0,0,0,0
Ben DiNucci,DAL,0,0,0,0,0,0,0,0,0,0
Clayton Thorson,DAL,0,0,0,0,0,0,0,0,0,0
Mike White,NYJ,0,0,0,0,0,0,0,0,0,0
